,Unnamed: 0,Batter_Name,bowler.type,Runs,BallsFaced,StrikeRate
929,930,Rishabh Pant,Slow left arm orthodox,61,38,160.53
930,931,Rilee Rossouw,Left arm wrist spin,5,4,125.0
931,932,Rilee Rossouw,Left arm pace,57,33,172.73
932,933,Rilee Rossouw,Leg spin,64,42,152.38
933,934,Rilee Rossouw,Off spin,30,44,68.18
934,935,Rilee Rossouw,Right arm pace,210,103,203.88
935,936,Rilee Rossouw,Slow left arm orthodox,54,31,174.19
936,937,Ripal Patel,Left arm wrist spin,1,2,50.0
937,938,Ripal Patel,Left arm pace,17,10,170.0
938,939,Ripal Patel,Leg spin,7,2,350.0
939,940,Ripal Patel,Off spin,8,7,114.29
940,941,Ripal Patel,Right arm pace,32,38,84.21
941,942,Ripal Patel,Slow left arm orthodox,15,14,107.14
942,943,Robin Uthappa,Left arm pace,17,20,85.0
943,944,Robin Uthappa,Leg spin,23,14,164.29
944,945,Robin Uthappa,Off spin,61,40,152.5
945,946,Robin Uthappa,Right arm pace,223,162,137.65
946,947,Robin Uthappa,Slow left arm orthodox,21,19,110.53
947,948,Rahmanullah Gurbaz,Left arm wrist spin,9,5,180.0
948,949,Rahmanullah Gurbaz,Left arm pace,70,58,120.69
949,950,Rahmanullah Gurbaz,Leg spin,45,27,166.67
950,951,Rahmanullah Gurbaz,Off spin,16,7,228.57
951,952,Rahmanullah Gurbaz,Right arm pace,129,103,125.24
952,953,Rahmanullah Gurbaz,Slow left arm orthodox,20,17,117.65
953,954,Ramandeep Singh,Left arm pace,30,13,230.77
954,955,Ramandeep Singh,Leg spin,16,15,106.67
955,956,Ramandeep Singh,Off spin,11,10,110.0
956,957,Ramandeep Singh,Right arm pace,97,50,194.0
957,958,Ramandeep Singh,Slow left arm orthodox,16,14,114.29
959,960,Rashid Khan,Left arm wrist spin,10,7,142.86
960,961,Rashid Khan,Left arm pace,37,26,142.31
961,962,Rashid Khan,Leg spin,3,5,60.0
962,963,Rashid Khan,Off spin,5,5,100.0
963,964,Rashid Khan,Right arm pace,296,176,168.18
964,965,Rashid Khan,Slow left arm orthodox,49,24,204.17
965,966,Rasikh Salam,Left arm pace,16,10,160.0
966,967,Rasikh Salam,Leg spin,2,6,33.33
967,968,Rasikh Salam,Off spin,3,5,60.0
968,969,Rasikh Salam,Right arm pace,14,15,93.33
969,970,Ravi Bishnoi,Left arm pace,5,5,100.0
970,971,Ravi Bishnoi,Leg spin,2,4,50.0
971,972,Ravi Bishnoi,Right arm pace,16,26,61.54
972,973,Ravi Bishnoi,Slow left arm orthodox,2,3,66.67
973,974,Shikhar Dhawan,Left arm pace,289,225,128.44
974,975,Shikhar Dhawan,Leg spin,217,175,124.0
975,976,Shikhar Dhawan,Off spin,182,155,117.42
976,977,Shikhar Dhawan,Right arm pace,754,573,131.59
977,978,Shikhar Dhawan,Slow left arm orthodox,130,107,121.5
979,980,Shivam Dube,Left arm wrist spin,18,14,128.57
980,981,Shivam Dube,Left arm pace,168,93,180.65
981,982,Shivam Dube,Leg spin,232,140,165.71
982,983,Shivam Dube,Off spin,177,125,141.6
983,984,Shivam Dube,Right arm pace,664,465,142.8
984,985,Shivam Dube,Slow left arm orthodox,72,46,156.52
985,986,Shreyas Gopal,Left arm wrist spin,0,2,0.0
986,987,Shreyas Gopal,Left arm pace,0,2,0.0
987,988,Shreyas Gopal,Right arm pace,16,8,200.0
988,989,Siddarth Kaul,Left arm pace,1,1,100.0
989,990,Siddarth Kaul,Right arm pace,7,7,100.0
990,991,Shahbaz Nadeem,Right arm pace,0,1,0.0
991,992,Sean Abbott,Left arm pace,6,2,300.0
992,993,Sean Abbott,Right arm pace,1,3,33.33
993,994,Suryakumar Yadav,Left arm wrist spin,24,24,100.0
994,995,Suryakumar Yadav,Left arm pace,263,141,186.52
995,996,Suryakumar Yadav,Leg spin,293,204,143.63
996,997,Suryakumar Yadav,Off spin,151,105,143.81
997,998,Suryakumar Yadav,Right arm pace,736,403,182.63
998,999,Suryakumar Yadav,Slow left arm orthodox,103,94,109.57
999,1000,Shubham Dubey,Left arm wrist spin,1,2,50.0
1000,1001,Shubham Dubey,Left arm pace,11,5,220.0
1001,1002,Shubham Dubey,Leg spin,2,3,66.67
1002,1003,Shubham Dubey,Right arm pace,19,9,211.11
1003,1004,Shai Hope,Left arm pace,43,34,126.47
1004,1005,Shai Hope,Leg spin,45,28,160.71
1005,1006,Shai Hope,Off spin,17,7,242.86
1006,1007,Shai Hope,Right arm pace,66,40,165.0
1007,1008,Shai Hope,Slow left arm orthodox,12,13,92.31
1008,1009,Sherfane Rutherford,Left arm pace,0,1,0.0
1009,1010,Sherfane Rutherford,Leg spin,17,13,130.77
1010,1011,Sherfane Rutherford,Off spin,8,16,50.0
1011,1012,Sherfane Rutherford,Right arm pace,8,20,40.0
1012,1013,Spencer Johnson,Left arm pace,4,3,133.33
1013,1014,Spencer Johnson,Right arm pace,2,4,50.0
1014,1015,Suresh Raina,Left arm pace,13,17,76.47
1015,1016,Suresh Raina,Leg spin,62,34,182.35
1016,1017,Suresh Raina,Off spin,30,19,157.89
1017,1018,Suresh Raina,Right arm pace,55,58,94.83
1018,1019,Sam Curran,Left arm wrist spin,20,25,80.0
1019,1020,Sam Curran,Left arm pace,74,48,154.17
1020,1021,Sam Curran,Leg spin,111,86,129.07
1021,1022,Sam Curran,Off spin,55,48,114.58
1022,1023,Sam Curran,Right arm pace,288,203,141.87
1023,1024,Sam Curran,Slow left arm orthodox,54,43,125.58
1024,1025,Sarfaraz Khan,Left arm pace,27,21,128.57
1025,1026,Sarfaraz Khan,Leg spin,34,32,106.25
1026,1027,Sarfaraz Khan,Off spin,0,2,0.0
1027,1028,Sarfaraz Khan,Right arm pace,61,65,93.85
1028,1029,Sarfaraz Khan,Slow left arm orthodox,22,13,169.23
1029,1030,Shardul Thakur,Left arm pace,56,31,180.65
1030,1031,Shardul Thakur,Leg spin,35,31,112.9
1031,1032,Shardul Thakur,Off spin,37,31,119.35
1032,1033,Shardul Thakur,Right arm pace,131,87,150.57
1033,1034,Shimron Hetmyer,Left arm wrist spin,17,14,121.43
1034,1035,Shimron Hetmyer,Left arm pace,198,113,175.22
1035,1036,Shimron Hetmyer,Leg spin,80,75,106.67
1036,1037,Shimron Hetmyer,Off spin,82,76,107.89
1037,1038,Shimron Hetmyer,Right arm pace,588,332,177.11
1038,1039,Shimron Hetmyer,Slow left arm orthodox,3,6,50.0
1039,1040,Sheldon Jackson,Left arm pace,3,4,75.0
1040,1041,Sheldon Jackson,Leg spin,3,6,50.0
1041,1042,Sheldon Jackson,Right arm pace,16,14,114.29
1042,1043,Sheldon Jackson,Slow left arm orthodox,1,2,50.0
1043,1044,Sunil Narine,Left arm wrist spin,4,3,133.33
1044,1045,Sunil Narine,Left arm pace,119,90,132.22
1045,1046,Sunil Narine,Leg spin,89,50,178.0
1046,1047,Sunil Narine,Off spin,43,26,165.38
1047,1048,Sunil Narine,Right arm pace,360,199,180.9
1048,1049,Sunil Narine,Slow left arm orthodox,27,16,168.75
1049,1050,Steven Smith,Left arm pace,22,13,169.23
1050,1051,Steven Smith,Leg spin,32,26,123.08
1051,1052,Steven Smith,Off spin,29,27,107.41
1052,1053,Steven Smith,Right arm pace,42,49,85.71
1053,1054,Steven Smith,Slow left arm orthodox,27,21,128.57
1054,1055,Shreyas Iyer,Left arm wrist spin,54,36,150.0
1055,1056,Shreyas Iyer,Left arm pace,168,128,131.25
1056,1057,Shreyas Iyer,Leg spin,103,96,107.29
1057,1058,Shreyas Iyer,Off spin,93,57,163.16
1058,1059,Shreyas Iyer,Right arm pace,396,301,131.56
1059,1060,Shreyas Iyer,Slow left arm orthodox,102,81,125.93
1061,1062,Suyash Prabhudessai,Left arm pace,5,6,83.33
1062,1063,Suyash Prabhudessai,Leg spin,26,27,96.3
1063,1064,Suyash Prabhudessai,Off spin,9,10,90.0
1064,1065,Suyash Prabhudessai,Right arm pace,52,40,130.0
1065,1066,Suyash Prabhudessai,Slow left arm orthodox,34,23,147.83
1066,1067,Saurabh Tiwary,Left arm pace,10,9,111.11
1067,1068,Saurabh Tiwary,Leg spin,10,7,142.86
1068,1069,Saurabh Tiwary,Off spin,17,17,100.0
1069,1070,Saurabh Tiwary,Right arm pace,51,46,110.87
1070,1071,Saurabh Tiwary,Slow left arm orthodox,27,18,150.0
1071,1072,Sanju Samson,Left arm wrist spin,31,21,147.62
